Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,26-Oct-19,"8,667.58","10,021.74","8,662.62","9,244.97","44,496,255,609","166,547,360,782"
bitcoin,25-Oct-19,"7,490.70","8,691.54","7,479.98","8,660.70","28,705,065,488","156,006,603,607"
bnb,4-Dec-19,15.35,15.69,15.01,15.28,"237,605,471","2,376,597,490"
bnb,3-Dec-19,15.19,15.55,15.05,15.31,"219,927,266","2,381,198,047"
bnb,2-Dec-19,15.51,15.71,15.15,15.19,"200,809,249","2,362,891,697"
bnb,1-Dec-19,15.74,15.74,15.05,15.5,"203,268,417","2,410,249,227"
bnb,30-Nov-19,16.26,16.37,15.54,15.72,"213,428,131","2,444,407,390"
bnb,29-Nov-19,15.68,16.34,15.65,16.27,"250,074,235","2,531,096,195"
bnb,28-Nov-19,16.1,16.23,15.65,15.68,"194,516,396","2,439,314,462"
bnb,27-Nov-19,15.49,16.2,14.94,16.1,"255,021,618","2,503,874,750"
bnb,26-Nov-19,15.27,15.86,15.23,15.53,"205,893,351","2,415,058,208"
bnb,25-Nov-19,15.29,15.74,14.2,15.27,"242,510,343","2,374,635,550"
bnb,24-Nov-19,16.4,16.49,15.28,15.28,"232,363,837","2,376,408,889"
bnb,23-Nov-19,15.58,16.47,15.15,16.42,"255,961,052","2,553,835,169"
bnb,22-Nov-19,16.84,17.27,14.69,15.58,"341,456,274","2,423,526,845"
bnb,21-Nov-19,18.16,18.19,16.62,16.84,"228,429,806","2,619,271,948"
bnb,20-Nov-19,18.71,18.93,17.85,18.17,"210,091,849","2,826,455,734"
bnb,19-Nov-19,19.31,19.63,18.38,18.7,"206,923,366","2,909,049,614"
bnb,18-Nov-19,20.34,20.43,18.94,19.32,"224,380,017","3,004,482,390"
bnb,17-Nov-19,20.28,20.62,20.03,20.26,"224,982,344","3,151,297,091"
bnb,16-Nov-19,20.32,20.63,20.09,20.28,"211,016,746","3,154,697,160"
bnb,15-Nov-19,21.24,21.29,20.18,20.32,"225,530,775","3,159,918,981"
bnb,14-Nov-19,21.28,21.51,20.97,21.26,"237,992,230","3,307,441,359"
bnb,13-Nov-19,20.87,21.64,20.71,21.25,"252,296,146","3,305,222,292"
bnb,12-Nov-19,20.14,20.86,20.09,20.86,"227,650,068","3,244,098,617"
bnb,11-Nov-19,20.48,20.64,19.92,20.13,"209,454,454","3,131,442,373"
bnb,10-Nov-19,19.73,20.63,19.73,20.48,"239,714,468","3,185,665,329"
bnb,9-Nov-19,19.68,19.98,19.6,19.74,"176,812,608","3,069,586,392"
bnb,8-Nov-19,20.69,20.69,19.47,19.69,"184,596,047","3,062,638,047"
bnb,7-Nov-19,20.81,20.96,20.25,20.65,"222,003,636","3,211,356,528"
bnb,6-Nov-19,20.72,20.92,20.28,20.82,"241,489,968","3,237,951,225"
bnb,5-Nov-19,20.74,20.92,20.45,20.72,"263,685,442","3,223,447,634"
bnb,4-Nov-19,20.23,20.92,20.18,20.74,"296,502,530","3,225,517,472"
bnb,3-Nov-19,20.27,20.43,19.89,20.21,"257,571,666","3,142,781,986"
bnb,2-Nov-19,20.02,20.4,19.86,20.27,"273,890,078","3,152,261,627"
bnb,1-Nov-19,19.99,20.06,19.78,20.02,"198,377,285","3,114,078,497"
bnb,31-Oct-19,20.1,20.4,19.54,20,"250,225,840","3,110,770,519"
bnb,30-Oct-19,20.49,20.58,19.23,20.09,"250,293,832","3,124,258,265"
bnb,29-Oct-19,19.81,20.92,19.7,20.48,"317,609,149","3,184,941,705"
bnb,28-Oct-19,19.34,20.9,19.31,19.76,"337,867,337","3,073,144,009"
bnb,27-Oct-19,18.89,19.59,18.57,19.35,"292,948,855","3,008,958,175"
bnb,26-Oct-19,18.63,19.78,18.18,18.89,"292,124,012","2,938,042,518"
bitcoin-cash,4-Dec-19,212.68,216.6,205.89,209.29,"1,441,054,845","3,798,514,529"
bitcoin-cash,3-Dec-19,215.5,217.16,211.62,212.86,"1,072,206,668","3,862,794,370"
bitcoin-cash,2-Dec-19,216.38,218.92,212.36,215.66,"1,164,376,888","3,913,199,174"
bitcoin-cash,1-Dec-19,218.99,219.26,212.5,216.17,"1,260,404,762","3,922,144,119"
bitcoin-cash,30-Nov-19,224.98,226.76,217.43,218.91,"1,309,092,627","3,971,434,832"
bitcoin-cash,29-Nov-19,218.89,225.69,218.44,224.81,"1,475,684,082","4,078,066,144"
bitcoin-cash,28-Nov-19,220.12,226.24,218.58,218.74,"1,391,327,826","3,967,553,739"
bitcoin-cash,27-Nov-19,212.36,224.12,206.61,220.41,"1,963,457,159","3,997,547,767"
bitcoin-cash,26-Nov-19,208.78,214.93,208.35,212.93,"1,808,857,014","3,861,504,453"
bitcoin-cash,25-Nov-19,205.24,215.3,194.76,209.24,"2,401,604,928","3,794,036,862"
bitcoin-cash,24-Nov-19,217.29,217.91,205.14,205.15,"2,128,845,957","3,719,555,398"
bitcoin-cash,23-Nov-19,209.1,217.36,202.89,217.34,"2,407,778,555","3,940,197,869"
bitcoin-cash,22-Nov-19,226.7,229.26,198.15,208.93,"3,382,940,612","3,787,329,094"
bitcoin-cash,21-Nov-19,244.2,246.82,222.46,226.6,"2,401,952,813","4,107,271,775"
bitcoin-cash,20-Nov-19,244.34,248.62,241.52,244.24,"1,805,761,006","4,426,589,668"
bitcoin-cash,19-Nov-19,250.17,253.92,236.83,244.41,"2,131,441,345","4,429,141,571"
bitcoin-cash,18-Nov-19,268.47,269.8,246.33,250.18,"2,115,048,013","4,533,460,759"
